job_id,build,problem,components,rows,out_csv,status
10798767,cpu_mpi_omp,binary_lj_032k_150k,1,31,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/binary_lj_032k_150k/10798767/ldms_metrics.csv,ok
10798768,cpu_mpi_omp,charged_lj_pppm_032k_040k,0,0,,no_data
10798769,cpu_mpi_omp,lj_melt_032k_170k_seedA,0,0,,no_data
10798770,cpu_mpi_omp,lj_melt_032k_170k_seedB,1,31,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/lj_melt_032k_170k_seedB/10798770/ldms_metrics.csv,ok
10798771,cpu_mpi_omp,lj_melt_032k_dense_160k,1,29,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/lj_melt_032k_dense_160k/10798771/ldms_metrics.csv,ok
10798772,cpu_mpi_omp,lj_melt_032k_hot_170k,1,31,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/lj_melt_032k_hot_170k/10798772/ldms_metrics.csv,ok
10798773,cpu_mpi_omp,lj_melt_108k_070k,0,0,,no_data
10798774,cpu_mpi_omp,lj_npt_032k_150k,1,25,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/lj_npt_032k_150k/10798774/ldms_metrics.csv,ok
10798775,cpu_mpi_omp,lj_nvt_032k_170k,1,31,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/lj_nvt_032k_170k/10798775/ldms_metrics.csv,ok
10798776,cpu_mpi_omp,morse_fluid_032k_120k,1,121,/home/cwschil/Develop/Ovis/scheduling/data/ldms/ldms/cpu_mpi_omp/morse_fluid_032k_120k/10798776/ldms_metrics.csv,ok
